City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
the valley,18.22,-63.06,87.8,58,20,17.22,AI,1595444535
coihaique,-45.58,-72.07,33.8,74,75,4.7,CL,1595445069
cape town,-33.93,18.42,57.0,93,0,8.05,ZA,1595444767
hermanus,-34.42,19.23,54.0,94,0,5.37,ZA,1595445072
thompson,55.74,-97.86,78.8,47,75,9.17,CA,1595445066
creel,27.75,-107.63,70.97,47,100,5.28,MX,1595445308
dhidhdhoo,6.88,73.1,82.38,78,100,15.52,MV,1595445308
provideniya,64.38,-173.3,53.31,59,0,5.08,RU,1595444902
puerto ayora,-0.74,-90.35,78.8,61,40,20.8,EC,1595445067
rawah,34.48,41.91,94.37,17,0,8.46,IQ,1595445309
kapaa,22.08,-159.32,73.4,100,90,6.93,US,1595445068
albany,42.6,-73.97,87.01,55,78,3.24,US,1595445061
punta arenas,-53.15,-70.92,28.4,92,40,9.17,CL,1595445059
ahipara,-35.17,173.17,56.52,71,38,15.26,NZ,1595445090
saint-pierre,-21.34,55.48,68.0,56,90,8.05,RE,1595445132
mahebourg,-20.41,57.7,68.0,68,40,11.41,MU,1595445060
hofn,64.25,-15.21,53.6,76,75,6.93,IS,1595445309
sao filipe,14.9,-24.5,78.84,82,79,7.67,CV,1595445083
tilichiki,60.47,166.1,49.87,75,36,3.15,RU,1595445310
georgetown,5.41,100.34,78.8,94,40,1.72,MY,1595445059
whitehorse,60.72,-135.05,60.01,87,75,2.24,CA,1595445128
vaini,-21.2,-175.2,59.0,93,40,3.36,TO,1595445056
ushuaia,-54.8,-68.3,37.4,69,97,4.7,AR,1595444978
hilo,19.73,-155.09,80.6,61,90,3.36,US,1595445070
saint george,37.1,-113.58,98.01,19,1,8.05,US,1595444907
samarai,-10.62,150.67,76.48,82,19,11.56,PG,1595444745
zima,53.92,102.04,59.72,88,100,4.76,RU,1595445310
avarua,-21.21,-159.78,75.2,94,0,13.87,CK,1595445071
mar del plata,-38.0,-57.56,50.0,93,90,28.86,AR,1595444826
qaanaaq,77.48,-69.36,48.02,52,0,1.19,GL,1595445063
atuona,-9.8,-139.03,79.7,72,0,18.39,PF,1595445059
caravelas,-17.71,-39.25,75.74,56,0,5.12,BR,1595445112
nikolskoye,59.7,30.79,60.8,77,40,11.18,RU,1595445074
bluff,-46.6,168.33,39.0,83,99,3.0,NZ,1595445083
portland,45.52,-122.68,71.01,68,90,4.7,US,1595445043
chokurdakh,70.63,147.92,74.61,51,91,4.59,RU,1595445106
rikitea,-23.12,-134.97,67.46,59,100,13.98,PF,1595445058
port elizabeth,-33.92,25.57,59.0,100,0,5.82,ZA,1595445024
hamilton,39.18,-84.53,73.4,94,75,3.36,US,1595445031
padang,-0.95,100.35,73.4,100,40,8.05,ID,1595444912
port alfred,-33.59,26.89,63.19,83,0,7.94,ZA,1595445087
new norfolk,-42.78,147.06,42.01,86,6,1.99,AU,1595445081
moose factory,51.26,-80.61,62.6,77,1,9.17,CA,1595444749
butaritari,3.07,172.79,83.21,75,93,15.64,KI,1595444780
